epi,end_time_step,total_return
55.0,616.0,189.0
56.0,722.0,252.0
57.0,725.0,294.0
58.0,812.0,294.0
59.0,342.0,147.0
60.0,754.0,231.0
61.0,616.0,189.0
62.0,850.0,378.0
63.0,840.0,294.0
64.0,797.0,189.0
65.0,605.0,147.0
66.0,722.0,189.0
67.0,861.0,399.0
68.0,840.0,252.0
69.0,616.0,189.0
70.0,594.0,189.0
71.0,768.0,189.0
72.0,712.0,252.0
73.0,690.0,294.0
74.0,541.0,210.0
75.0,477.0,147.0
76.0,616.0,189.0
77.0,882.0,378.0
78.0,605.0,189.0
79.0,871.0,315.0
80.0,722.0,294.0
81.0,640.0,273.0
82.0,786.0,273.0
83.0,839.0,315.0
84.0,684.0,315.0
85.0,680.0,231.0
86.0,776.0,420.0
87.0,733.0,378.0
88.0,647.0,189.0
89.0,754.0,315.0
90.0,512.0,189.0
91.0,712.0,189.0
92.0,925.0,210.0
93.0,725.0,315.0
94.0,669.0,252.0
95.0,882.0,294.0
96.0,904.0,336.0
97.0,754.0,210.0
98.0,808.0,231.0
99.0,871.0,231.0
100.0,498.0,126.0
101.0,626.0,189.0
102.0,456.0,168.0
103.0,776.0,189.0
104.0,829.0,315.0
105.0,733.0,273.0
106.0,861.0,252.0
107.0,733.0,252.0
108.0,882.0,336.0
109.0,477.0,189.0
110.0,810.0,336.0
111.0,829.0,399.0
112.0,690.0,252.0
113.0,725.0,273.0
114.0,725.0,231.0
115.0,1021.0,399.0
116.0,616.0,210.0
117.0,850.0,315.0
118.0,690.0,210.0
119.0,829.0,231.0
120.0,669.0,231.0
121.0,605.0,189.0
122.0,829.0,189.0
123.0,946.0,399.0
124.0,306.0,84.0
125.0,597.0,189.0
126.0,839.0,315.0
127.0,733.0,189.0
128.0,722.0,189.0
129.0,648.0,231.0
130.0,882.0,210.0
131.0,754.0,210.0
132.0,904.0,378.0
133.0,818.0,315.0
134.0,882.0,273.0
135.0,861.0,231.0
136.0,829.0,294.0
137.0,903.0,378.0
138.0,680.0,189.0
139.0,903.0,357.0
140.0,690.0,252.0
141.0,818.0,378.0
142.0,647.0,210.0
143.0,897.0,378.0
144.0,904.0,378.0
145.0,583.0,189.0
146.0,1021.0,357.0
147.0,839.0,315.0
148.0,754.0,336.0
149.0,946.0,357.0
150.0,743.0,189.0
151.0,807.0,252.0
152.0,925.0,294.0
153.0,808.0,189.0
154.0,573.0,210.0
155.0,470.0,189.0
156.0,690.0,189.0
157.0,840.0,357.0
158.0,555.0,189.0
159.0,904.0,336.0
160.0,768.0,252.0
161.0,807.0,252.0
162.0,925.0,315.0
163.0,679.0,210.0
164.0,936.0,315.0
165.0,512.0,126.0
166.0,810.0,315.0
167.0,984.0,441.0
168.0,669.0,231.0
169.0,861.0,378.0
170.0,584.0,168.0
171.0,925.0,357.0
172.0,597.0,231.0
173.0,861.0,273.0
174.0,605.0,189.0
175.0,818.0,189.0
176.0,690.0,336.0
177.0,498.0,189.0
178.0,765.0,315.0
179.0,897.0,420.0
